Tue Aug  4 12:42:14 2015    prof

         1085016 function calls (1085005 primitive calls) in 12.736 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   12.736   12.736 main.py:1(<module>)
        1    0.000    0.000   12.558   12.558 Tkinter.py:1066(mainloop)
        1    9.471    9.471   12.558   12.558 {built-in method mainloop}
     1151    0.009    0.000    3.086    0.003 Tkinter.py:1465(__call__)
     1139    0.008    0.000    3.072    0.003 Tkinter.py:529(callit)
     1028    0.434    0.000    2.957    0.003 main.py:65(update_loop)
   200219    1.296    0.000    1.296    0.000 {built-in method call}
   121360    0.261    0.000    1.048    0.000 Tkinter.py:2235(coords)
   111888    0.101    0.000    0.420    0.000 random.py:236(randint)
    54961    0.063    0.000    0.406    0.000 Tkinter.py:2360(move)
   111888    0.297    0.000    0.319    0.000 random.py:173(randrange)
     4496    0.008    0.000    0.312    0.000 Tkinter.py:2270(create_rectangle)
     4497    0.042    0.000    0.304    0.000 Tkinter.py:2241(_create)
   123416    0.257    0.000    0.257    0.000 {map}
      113    0.006    0.000    0.123    0.001 main.py:217(time_loop)
     4842    0.042    0.000    0.114    0.000 Tkinter.py:1100(_options)
        1    0.000    0.000    0.102    0.102 Tkinter.py:1725(__init__)
        1    0.102    0.102    0.102    0.102 {_tkinter.create}
   134250    0.089    0.000    0.089    0.000 {built-in method splitlist}
    10834    0.022    0.000    0.083    0.000 Tkinter.py:2323(gettags)
      114    0.001    0.000    0.081    0.001 Tkinter.py:2519(__init__)
     1141    0.009    0.000    0.080    0.000 Tkinter.py:518(after)
      116    0.002    0.000    0.080    0.001 Tkinter.py:2021(__init__)
     1028    0.003    0.000    0.075    0.000 Tkinter.py:2313(find_overlapping)
     1028    0.004    0.000    0.072    0.000 Tkinter.py:2290(find)
     2056    0.011    0.000    0.058    0.000 Tkinter.py:1072(_getints)
     1028    0.007    0.000    0.045    0.000 Tkinter.py:2206(bbox)
     5070    0.021    0.000    0.034    0.000 Tkinter.py:106(_cnfmerge)
     1145    0.024    0.000    0.033    0.000 Tkinter.py:1143(_register)
        4    0.000    0.000    0.032    0.008 Tkinter.py:1534(wm_attributes)
     4341    0.006    0.000    0.029    0.000 Tkinter.py:2283(delete)
      113    0.001    0.000    0.029    0.000 Tkinter.py:2342(itemconfigure)
      114    0.001    0.000    0.028    0.000 Tkinter.py:1237(_configure)
        1    0.000    0.000    0.026    0.026 main.py:44(__init__)
     9791    0.022    0.000    0.022    0.000 {hasattr}
   111888    0.021    0.000    0.021    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.016    0.016 main.py:252(rip)
        1    0.013    0.013    0.014    0.014 Tkinter.py:31(<module>)
    10713    0.013    0.000    0.013    0.000 {isinstance}
     9564    0.010    0.000    0.010    0.000 {method 'update' of 'dict' objects}
     1139    0.003    0.000    0.010    0.000 Tkinter.py:389(deletecommand)
      113    0.001    0.000    0.008    0.000 Tkinter.py:1895(place_configure)
     5479    0.007    0.000    0.007    0.000 {method 'remove' of 'list' objects}
     9450    0.007    0.000    0.007    0.000 {_tkinter._flatten}
        2    0.000    0.000    0.006    0.003 main.py:267(__init__)
      641    0.002    0.000    0.006    0.000 Tkinter.py:2370(tag_raise)
     1147    0.005    0.000    0.005    0.000 {built-in method createcommand}
     1140    0.005    0.000    0.005    0.000 {built-in method deletecommand}
       10    0.000    0.000    0.004    0.000 Tkinter.py:3301(__init__)
       10    0.000    0.000    0.004    0.000 Tkinter.py:3242(__init__)
     4854    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
      2/1    0.000    0.000    0.003    0.003 Tkinter.py:2039(destroy)
      116    0.002    0.000    0.003    0.000 Tkinter.py:1996(_setup)
     8947    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.002    0.002    0.003    0.003 random.py:40(<module>)
      228    0.002    0.000    0.003    0.000 Tkinter.py:69(_stringify)
     1145    0.002    0.000    0.002    0.000 Tkinter.py:1460(__init__)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
     1018    0.002    0.000    0.002    0.000 {max}
        8    0.000    0.000    0.001    0.000 main.py:275(subimage)
     1261    0.001    0.000    0.001    0.000 {repr}
       11    0.001    0.000    0.001    0.000 Tkinter.py:1174(_substitute)
      230    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
      260    0.001    0.000    0.001    0.000 Tkinter.py:1824(__getattr__)
        7    0.000    0.000    0.001    0.000 main.py:35(__init__)
     1261    0.001    0.000    0.001    0.000 {id}
      121    0.001    0.000    0.001    0.000 Tkinter.py:1180(getint_event)
        2    0.000    0.000    0.000    0.000 re.py:188(compile)
       11    0.000    0.000    0.000    0.000 main.py:241(jump)
        2    0.000    0.000    0.000    0.000 re.py:226(_compile)
